date,open_price,highest_price,lowest_price,close_price,price_change,change_percentage,volume
10/9/2024,"72,286.15","72,962.62","71,802.95","72,382.78",100,0,"3,332,434.00"
9/9/2024,"72,576.06","72,576.06","71,706.31","72,286.15",-600,-0.01,"2,638,800.00"
6/9/2024,"72,382.78","72,962.62","72,286.15","72,865.98",700,0.01,"3,641,800.00"
5/9/2024,"71,802.95","72,865.98","71,609.67","72,189.51",400,0.01,"5,841,142.00"
4/9/2024,"70,836.56","71,996.23","70,643.28","71,802.95",400,0.01,"2,839,125.00"
30/08/2024,"71,126.47","72,286.15","70,933.20","71,416.39",400,0.01,"3,675,800.00"
29/08/2024,"71,223.11","71,513.03","70,933.20","71,029.84",-400,-0.01,"2,042,980.00"
28/08/2024,"71,126.47","71,513.03","70,739.92","71,416.39",400,0.01,"3,352,840.00"
27/08/2024,"70,933.20","71,319.75","70,160.08","71,029.84",100,0,"4,265,844.00"
26/08/2024,"72,382.78","72,479.42","70,836.56","70,933.20","-1,500.00",-0.02,"6,324,827.00"
23/08/2024,"72,382.78","73,059.26","71,899.59","72,382.78",700,0.01,"3,307,633.00"
22/08/2024,"73,445.82","73,445.82","71,126.47","71,706.31","-1,100.00",-0.01,"6,025,954.00"
21/08/2024,"72,672.70","73,542.46","72,576.06","72,769.34",-300,0,"3,991,045.00"
20/08/2024,"73,445.82","73,639.09","72,769.34","73,059.26",-400,-0.01,"4,177,349.00"
19/08/2024,"71,513.03","73,445.82","71,319.75","73,445.82","2,200.00",0.03,"7,917,931.00"
16/08/2024,"71,513.03","71,609.67","70,739.92","71,319.75",0,0,"7,392,917.00"
15/08/2024,"71,513.03","72,092.87","71,223.11","71,319.75",-200,0,"4,255,830.00"
14/08/2024,"71,513.03","71,609.67","70,836.56","71,513.03",200,0,"5,456,225.00"
13/08/2024,"70,353.36","71,899.59","70,256.72","71,319.75",800,0.01,"6,834,400.00"
12/8/2024,"70,836.56","71,899.59","70,353.36","70,546.64",-300,0,"5,804,000.00"
9/8/2024,"70,353.36","70,933.20","70,063.44","70,836.56",600,0.01,"4,527,500.00"
8/8/2024,"71,416.39","71,899.59","69,773.53","70,256.72","-1,100.00",-0.01,"7,611,000.00"
7/8/2024,"70,739.92","71,319.75","69,966.80","71,319.75","1,100.00",0.02,"10,740,700.00"
6/8/2024,"67,937.38","70,836.56","67,647.46","70,256.72","3,300.00",0.05,"13,950,400.00"
5/8/2024,"68,613.85","68,807.13","66,197.87","67,067.63","-2,100.00",-0.03,"12,245,500.00"
2/8/2024,"67,647.46","69,483.61","67,647.46","69,097.05","1,200.00",0.02,"10,290,200.00"
1/8/2024,"69,386.97","69,483.61","67,744.10","67,937.38","-1,300.00",-0.02,"8,955,800.00"
31/07/2024,"66,197.87","69,580.25","66,197.87","69,193.69","3,900.00",0.06,"21,564,900.00"
30/07/2024,"65,038.20","66,101.23","64,651.65","65,424.76",500,0.01,"6,465,600.00"
29/07/2024,"63,975.17","65,328.12","63,685.25","64,941.56","1,400.00",0.02,"5,781,800.00"
26/07/2024,"63,202.06","63,975.17","63,202.06","63,588.61",200,0,"3,275,400.00"
25/07/2024,"63,395.34","63,491.98","63,105.42","63,395.34",0,0,"1,957,600.00"
24/07/2024,"63,588.61","63,878.53","63,395.34","63,395.34",-300,0,"3,913,500.00"
23/07/2024,"63,395.34","64,071.81","63,298.70","63,685.25",500,0.01,"3,777,800.00"
22/07/2024,"63,105.42","63,781.89","63,008.78","63,202.06",100,0,"2,654,800.00"
19/07/2024,"63,685.25","63,685.25","62,912.14","63,105.42",-600,-0.01,"3,412,700.00"
18/07/2024,"63,781.89","63,781.89","63,298.70","63,685.25",200,0,"2,363,000.00"
17/07/2024,"63,975.17","64,265.09","63,395.34","63,491.98",-400,-0.01,"3,464,800.00"
16/07/2024,"64,168.45","64,458.37","63,878.53","63,878.53",-100,0,"2,243,700.00"
15/07/2024,"64,071.81","64,651.65","63,975.17","63,975.17",-100,0,"2,155,300.00"
12/7/2024,"64,168.45","64,361.73","63,878.53","64,071.81",0,0,"2,189,900.00"
11/7/2024,"64,651.65","64,748.29","64,071.81","64,071.81",-500,-0.01,"3,787,100.00"
10/7/2024,"65,231.48","65,521.40","64,555.01","64,555.01",-700,-0.01,"3,991,700.00"
9/7/2024,"65,328.12","65,521.40","64,941.56","65,231.48",-100,0,"5,045,200.00"
8/7/2024,"65,038.20","65,424.76","64,748.29","65,328.12",400,0.01,"4,942,400.00"
5/7/2024,"64,168.45","65,231.48","64,168.45","64,941.56",800,0.01,"4,285,100.00"
4/7/2024,"64,071.81","64,651.65","64,071.81","64,168.45",200,0,"2,688,900.00"
3/7/2024,"63,975.17","64,071.81","63,781.89","63,975.17",0,0,"1,437,600.00"
2/7/2024,"63,781.89","64,071.81","63,588.61","63,975.17",200,0,"2,042,800.00"
1/7/2024,"63,588.61","63,781.89","63,105.42","63,781.89",500,0.01,"1,909,300.00"
28/06/2024,"63,298.70","63,781.89","63,105.42","63,298.70",200,0,"2,821,700.00"
27/06/2024,"63,008.78","63,395.34","62,912.14","63,105.42",100,0,"2,755,400.00"
26/06/2024,"63,588.61","63,588.61","62,912.14","63,008.78",-300,0,"2,599,300.00"
25/06/2024,"63,588.61","63,975.17","63,298.70","63,298.70",0,0,"3,680,600.00"
24/06/2024,"63,878.53","64,361.73","63,105.42","63,298.70",-500,-0.01,"3,871,900.00"
21/06/2024,"64,265.09","64,844.92","63,781.89","63,781.89",0,0,"4,023,700.00"
20/06/2024,"63,202.06","64,555.01","63,008.78","63,781.89",700,0.01,"4,397,100.00"
19/06/2024,"63,781.89","63,781.89","62,912.14","63,105.42",-600,-0.01,"6,211,000.00"
18/06/2024,"64,265.09","64,265.09","63,685.25","63,685.25",-100,0,"2,751,700.00"
17/06/2024,"64,071.81","64,361.73","63,781.89","63,781.89",-200,0,"3,617,600.00"
14/06/2024,"64,748.29","65,038.20","63,975.17","63,975.17",-700,-0.01,"4,124,200.00"
13/06/2024,"64,748.29","65,134.84","64,555.01","64,651.65",-100,0,"4,003,600.00"
12/6/2024,"64,265.09","65,038.20","64,071.81","64,748.29",500,0.01,"3,522,696.00"
11/6/2024,"65,134.84","65,231.48","64,168.45","64,265.09",-700,-0.01,"6,177,100.00"
10/6/2024,"66,101.23","66,197.87","64,941.56","64,941.56",-600,-0.01,"4,584,100.00"
7/6/2024,"65,328.12","66,294.51","65,231.48","65,521.40",600,0.01,"4,127,600.00"
6/6/2024,"66,681.07","66,681.07","64,941.56","64,941.56","-1,300.00",-0.02,"4,907,800.00"
5/6/2024,"63,975.17","66,874.35","63,975.17","66,197.87","2,500.00",0.04,"11,865,800.00"
4/6/2024,"63,878.53","64,361.73","63,781.89","63,781.89",-100,0,"3,755,800.00"
3/6/2024,"63,588.61","64,361.73","63,491.98","63,878.53",700,0.01,"3,302,200.00"
31/05/2024,"63,685.25","63,685.25","63,105.42","63,202.06",-300,0,"4,165,400.00"
30/05/2024,"63,878.53","63,975.17","63,298.70","63,491.98",-600,-0.01,"4,502,600.00"
29/05/2024,"64,748.29","65,038.20","63,781.89","64,071.81",-500,-0.01,"3,644,200.00"
28/05/2024,"64,071.81","65,038.20","63,878.53","64,555.01",700,0.01,"5,787,500.00"
27/05/2024,"63,878.53","64,361.73","63,588.61","63,878.53",100,0,"2,426,600.00"
24/05/2024,"64,458.37","64,651.65","63,491.98","63,781.89","-1,000.00",-0.01,"4,194,100.00"
23/05/2024,"63,781.89","64,748.29","63,588.61","64,748.29","1,200.00",0.02,"2,991,400.00"
22/05/2024,"64,168.45","64,458.37","63,588.61","63,588.61",-400,-0.01,"3,728,300.00"
21/05/2024,"64,168.45","64,361.73","63,588.61","63,975.17",-200,0,"3,821,200.00"
20/05/2024,"64,844.92","65,328.12","64,168.45","64,168.45",-600,-0.01,"4,941,500.00"
17/05/2024,"65,038.20","65,521.40","64,555.01","64,748.29",-200,0,"4,349,200.00"
16/05/2024,"64,844.92","65,424.76","64,748.29","64,941.56",200,0,"3,153,300.00"
15/05/2024,"64,651.65","65,038.20","64,458.37","64,748.29",500,0.01,"3,895,400.00"
14/05/2024,"63,685.25","64,748.29","63,685.25","64,265.09",700,0.01,"2,704,800.00"
13/05/2024,"64,361.73","64,555.01","63,202.06","63,588.61",-700,-0.01,"2,882,500.00"
10/5/2024,"64,458.37","65,231.48","63,878.53","64,265.09",-100,0,"2,438,800.00"
9/5/2024,"65,618.04","65,618.04","64,361.73","64,361.73","-1,300.00",-0.02,"2,998,000.00"
8/5/2024,"65,714.68","65,714.68","64,844.92","65,618.04",-100,0,"2,984,400.00"
7/5/2024,"63,781.89","66,197.87","63,685.25","65,714.68","2,200.00",0.03,"8,723,900.00"
6/5/2024,"63,588.61","64,168.45","63,298.70","63,588.61",200,0,"2,261,300.00"
3/5/2024,"63,395.34","63,781.89","63,298.70","63,395.34",200,0,"2,204,400.00"
2/5/2024,"63,202.06","63,298.70","62,718.86","63,202.06",400,0.01,"2,563,400.00"
26/04/2024,"62,525.58","63,588.61","62,332.30","62,815.50",300,0,"2,940,600.00"
25/04/2024,"61,849.11","62,622.22","61,752.47","62,525.58",700,0.01,"2,006,000.00"
24/04/2024,"61,849.11","62,139.03","61,365.91","61,849.11",500,0.01,"2,478,300.00"
23/04/2024,"62,042.39","62,139.03","61,075.99","61,365.91",-500,-0.01,"2,139,400.00"
22/04/2024,"62,525.58","63,105.42","61,849.11","61,849.11",-200,0,"2,035,200.00"
19/04/2024,"62,042.39","62,235.67","61,172.63","62,042.39",0,0,"4,677,100.00"
17/04/2024,"62,235.67","62,718.86","62,042.39","62,042.39",200,0,"5,144,500.00"
16/04/2024,"62,718.86","62,815.50","60,882.72","61,849.11",-900,-0.01,"7,128,700.00"
15/04/2024,"64,458.37","64,458.37","62,718.86","62,718.86","-1,800.00",-0.03,"5,776,100.00"
12/4/2024,"64,555.01","64,844.92","64,361.73","64,458.37",100,0,"2,509,200.00"
11/4/2024,"64,458.37","64,651.65","64,265.09","64,361.73",-200,0,"2,947,700.00"
10/4/2024,"64,844.92","65,038.20","64,555.01","64,555.01",-200,0,"4,464,100.00"
9/4/2024,"64,844.92","65,038.20","64,555.01","64,748.29",0,0,"2,516,000.00"
8/4/2024,"65,714.68","65,714.68","64,651.65","64,748.29",-900,-0.01,"3,716,000.00"
5/4/2024,"65,907.96","65,907.96","65,424.76","65,618.04",-300,0,"4,233,800.00"
4/4/2024,"64,458.37","66,101.23","64,458.37","65,907.96","1,500.00",0.02,"8,598,100.00"
3/4/2024,"65,038.20","65,038.20","64,458.37","64,458.37",-600,-0.01,"5,046,100.00"
2/4/2024,"64,748.29","65,134.84","64,458.37","65,038.20",300,0,"4,322,900.00"
1/4/2024,"65,328.12","65,424.76","64,748.29","64,748.29",-600,-0.01,"5,013,000.00"
29/03/2024,"66,101.23","66,101.23","65,231.48","65,328.12",-100,0,"3,694,900.00"
28/03/2024,"65,424.76","66,101.23","65,328.12","65,424.76",0,0,"4,492,200.00"
27/03/2024,"65,714.68","65,714.68","65,231.48","65,424.76",0,0,"2,812,100.00"
26/03/2024,"65,134.84","65,618.04","65,038.20","65,424.76",400,0.01,"2,524,500.00"
25/03/2024,"65,618.04","65,907.96","64,844.92","65,038.20",-500,-0.01,"5,588,600.00"
22/03/2024,"66,294.51","66,391.15","65,521.40","65,521.40",-600,-0.01,"6,162,600.00"
21/03/2024,"65,907.96","66,197.87","65,618.04","66,101.23",400,0.01,"5,061,700.00"
20/03/2024,"65,521.40","66,294.51","65,231.48","65,714.68",200,0,"3,657,800.00"
19/03/2024,"66,197.87","66,197.87","65,521.40","65,521.40",-100,0,"3,222,100.00"
18/03/2024,"66,487.79","66,777.71","65,328.12","65,618.04",-900,-0.01,"6,796,400.00"
15/03/2024,"67,744.10","67,744.10","66,391.15","66,487.79",-800,-0.01,"4,851,100.00"
14/03/2024,"67,737.93","68,024.15","67,070.09","67,260.91",-300,0,"5,476,400.00"
13/03/2024,"66,879.28","67,642.53","66,783.88","67,547.12",800,0.01,"5,702,600.00"
